postcode,Suburb,State,lat,long
7150, Adventure Bay, TAS,-43.36,147.33
7117, Dover, TAS,-43.31,147.02
7116, Brooks Bay, TAS,-43.23,147.03
7112, Abels Bay, TAS,-43.23,147.1
7163, Flowerpot, TAS,-43.2,147.25
7162, Birchs Bay, TAS,-43.18,147.24
7182, Fortescue, TAS,-43.13,147.95
7155, Kettering, TAS,-43.13,147.25
7184, Nubeena, TAS,-43.1,147.74
7113, Franklin, TAS,-43.09,147.01
7187, Koonya, TAS,-43.06,147.81
7180, Taranna, TAS,-43.06,147.87
7185, Premaydena, TAS,-43.05,147.78
7054, Barretta, TAS,-43.05,147.26
7186, Saltwater River, TAS,-43.03,147.73
7022, South Arm, TAS,-43.03,147.42
7179, Eaglehawk Neck, TAS,-43.01,147.92
7052, Blackmans Bay, TAS,-43,147.32
7055, Huntingfield, TAS,-42.99,147.29
7051, Kingston, TAS,-42.99,147.33
7023, Opossum Bay, TAS,-42.99,147.4
7020, Clifton Beach, TAS,-42.99,147.52
7053, Bonnet Hill, TAS,-42.97,147.33
7109, Crabtree, TAS,-42.96,147.08
7050, Albion Heights, TAS,-42.96,147.32
7178, Murdunna, TAS,-42.95,147.87
7024, Cremorne, TAS,-42.95,147.52
7007, Mount Nelson, TAS,-42.92,147.32
7006, Sandy Bay, TAS,-42.91,147.34
7021, Lauderdale, TAS,-42.9,147.48
7005, Dynnyrne, TAS,-42.9,147.31
7002, North Hobart, TAS,-42.9,147.45
7019, Clarendon Vale, TAS,-42.89,147.45
7004, Battery Point, TAS,-42.89,147.33
7177, Boomer Bay, TAS,-42.87,147.83
7173, Carlton, TAS,-42.87,147.64
7170, Acton Park, TAS,-42.87,147.47
7018, Bellerive, TAS,-42.87,147.37
7008, Lenah Valley, TAS,-42.87,147.28
7000, Bathurst Street Po, TAS,-42.87,147.33
7015, Geilston Bay, TAS,-42.84,147.35
7012, Collinsvale, TAS,-42.84,147.19
7009, Derwent Park, TAS,-42.84,147.29
7001, Hobart, TAS,-42.84,147.51
7016, Risdon Vale, TAS,-42.82,147.38
7010, Dowsing Point, TAS,-42.82,147.3
7175, Bream Creek, TAS,-42.81,147.83
7171, Midway Point, TAS,-42.8,147.53
7025, Dulcot, TAS,-42.79,147.42
7176, Kellevie, TAS,-42.78,147.81
7017, Grasstree Hill, TAS,-42.78,147.36
7011, Austins Ferry, TAS,-42.77,147.24
7140, Black Hills, TAS,-42.73,147.03
7172, Nugent, TAS,-42.72,147.75
7026, Campania, TAS,-42.66,147.42
7027, Colebrook, TAS,-42.53,147.36
7030, Apsley, TAS,-42.42,147.14
7119, Stonor, TAS,-42.4,147.38
7120, Andover, TAS,-42.33,147.46
7468, Macquarie Heads, TAS,-42.22,145.2
7209, Ross, TAS,-42.21,147.78
7466, Gormanston, TAS,-42.07,145.6
7467, Lake Margaret, TAS,-42,145.54
7190, Apslawn, TAS,-41.96,148.16
7210, Campbell Town, TAS,-41.93,147.49
7304, Brandum, TAS,-41.82,146.68
7469, Granville Harbour, TAS,-41.81,145.04
7211, Cleveland, TAS,-41.81,147.42
7470, Rosebery, TAS,-41.78,145.54
7213, Avoca, TAS,-41.78,147.72
7302, Bracknell, TAS,-41.65,146.94
7214, Fingal, TAS,-41.64,147.97
7301, Bishopsbourne, TAS,-41.62,146.99
7300, Devon Hills, TAS,-41.55,147.19
7292, Hagley, TAS,-41.53,146.9
7291, Carrick, TAS,-41.53,147.01
7258, Breadalbane, TAS,-41.53,147.19
7151, Casey, TAS,-41.52,146.64
7212, Ben Lomond, TAS,-41.51,147.61
7850, Hobart, TAS,-41.5,147.17
7845, Hobart, TAS,-41.5,147.17
7829, Hobart, TAS,-41.5,147.17
7828, Hobart, TAS,-41.5,147.17
7827, Hobart, TAS,-41.5,147.17
7824, Hobart, TAS,-41.5,147.17
7823, Hobart, TAS,-41.5,147.17
7814, Hobart, TAS,-41.5,147.17
7813, Hobart, TAS,-41.5,147.17
7812, Hobart, TAS,-41.5,147.17
7811, Hobart, TAS,-41.5,147.17
7810, Hobart, TAS,-41.5,147.17
7809, Hobart, TAS,-41.5,147.17
7808, Hobart, TAS,-41.5,147.17
7807, Hobart, TAS,-41.5,147.17
7806, Hobart, TAS,-41.5,147.17
7805, Hobart, TAS,-41.5,147.17
7804, Hobart, TAS,-41.5,147.17
7803, Hobart, TAS,-41.5,147.17
7802, Hobart, TAS,-41.5,147.17
7800, Hobart, TAS,-41.5,147.17
7290, Hadspen, TAS,-41.5,147.06
7249, Kings Meadows, TAS,-41.47,147.16
7250, Blackstone Heights, TAS,-41.46,147.08
7248, Invermay, TAS,-41.42,147.13
7215, Beaumaris, TAS,-41.42,148.28
7303, Birralee, TAS,-41.38,146.83
7277, Bridgenorth, TAS,-41.38,146.97
7923, Launceston, TAS,-41.35,148.14
7922, Launceston, TAS,-41.35,148.14
7914, Launceston, TAS,-41.35,148.14
7913, Launceston, TAS,-41.35,148.14
7912, Launceston, TAS,-41.35,148.14
7911, Launceston, TAS,-41.35,148.14
7910, Launceston, TAS,-41.35,148.14
7909, Launceston, TAS,-41.35,148.14
7908, Launceston, TAS,-41.35,148.14
7907, Launceston, TAS,-41.35,148.14
7906, Launceston, TAS,-41.35,148.14
7905, Launceston, TAS,-41.35,148.14
7904, Launceston, TAS,-41.35,148.14
7903, Launceston, TAS,-41.35,148.14
7902, Launceston, TAS,-41.35,148.14
7901, Launceston, TAS,-41.35,148.14
7305, Merseylea, TAS,-41.34,146.47
7275, Blackwall, TAS,-41.31,146.97
7216, Akaroa, TAS,-41.3,148.32
7263, Alberton, TAS,-41.29,147.79
7259, Myrtle Bank, TAS,-41.29,147.35
7306, Acacia Hills, TAS,-41.28,146.32
7276, Gravelly Beach, TAS,-41.28,146.98
7268, Lilydale, TAS,-41.25,147.22
7310, Aberdeen, TAS,-41.24,146.32
7267, Bangor, TAS,-41.22,147.14
7315, Abbotsham, TAS,-41.21,146.18
7307, Bakers Beach, TAS,-41.19,146.61
7316, Camena, TAS,-41.17,145.97
7261, Branxholm, TAS,-41.17,147.74
7260, Blumont, TAS,-41.15,147.41
7253, Bell Bay, TAS,-41.13,146.87
7270, Badger Head, TAS,-41.1,146.67
7325, Calder, TAS,-41.07,145.63
7320, Acton, TAS,-41.07,145.89
7322, Somerset, TAS,-41.04,145.83
7252, Beechford, TAS,-41.03,146.95
7265, Banca, TAS,-41.02,147.8
7254, Bellingham, TAS,-41.02,147.17
7262, Bridport, TAS,-41,147.39
7330, Alcomie, TAS,-40.93,145.19
7264, Ansons Bay, TAS,-40.89,147.88
7321, Black River, TAS,-40.85,145.31
7331, Stanley, TAS,-40.79,145.27
7257, Cape Barren Island, TAS,-40.39,148.23
7255, Blue Rocks, TAS,-40.04,147.95
7256, Bungaree, TAS,-39.78,143.9
3238, Glenaire, VIC,-38.78,143.43
3233, Apollo Bay, VIC,-38.75,143.67
3965, Port Welshpool, VIC,-38.69,146.45
3959, Fish Creek, VIC,-38.69,146.08
3237, Aire Valley, VIC,-38.69,143.56
3964, Port Franklin, VIC,-38.68,146.27
3962, Agnes, VIC,-38.67,146.4
3960, Bennison, VIC,-38.67,146.27
3958, Buffalo, VIC,-38.64,146.07
3996, Inverloch, VIC,-38.63,145.73
3269, Port Campbell, VIC,-38.62,143
3971, Alberton, VIC,-38.61,146.67
3966, Binginwarri, VIC,-38.58,146.45
3270, Peterborough, VIC,-38.58,142.86
3239, Carlisle River, VIC,-38.56,143.4
3954, Koonwarra, VIC,-38.55,145.95
3925, Cape Woolamai, VIC,-38.54,145.34
3995, Anderson, VIC,-38.53,145.45
3956, Dumbalk, VIC,-38.53,146.1
3236, Forrest, VIC,-38.52,143.71
3232, Lorne, VIC,-38.52,144
3992, Blackwood Forest, VIC,-38.49,145.62
3991, Bass, VIC,-38.48,145.47
3929, Flinders, VIC,-38.47,145.02
3243, Barwon Downs, VIC,-38.47,143.76
3235, Benwerrin, VIC,-38.47,143.93
3923, Rhyll, VIC,-38.46,145.31
3231, Aireys Inlet, VIC,-38.46,144.11
3990, Glen Forbes, VIC,-38.45,145.53
3950, Kardella South, VIC,-38.45,145.88
3922, Cowes, VIC,-38.45,145.24
3267, Scotts Creek, VIC,-38.45,143.11
3979, Almurta, VIC,-38.43,145.56
3946, Bena, VIC,-38.43,145.72
3850, Sale, VIC,-38.42,147.08
3268, Ayrford, VIC,-38.42,142.86
3953, Berrys Creek, VIC,-38.41,146.07
3844, Blackwarry, VIC,-38.41,146.64
3230, Anglesea, VIC,-38.41,144.19
3939, Boneo, VIC,-38.4,144.9
3928, Main Ridge, VIC,-38.4,144.97
3869, Jumbuk, VIC,-38.4,146.42
3951, Arawata, VIC,-38.39,145.89
3916, Merricks, VIC,-38.39,145.09
3277, Allansford, VIC,-38.39,142.59
3927, Somers, VIC,-38.38,145.15
3874, Cherrilong, VIC,-38.38,146.79
3870, Boolarra, VIC,-38.38,146.28
3750, Wollert, VIC,-38.38,144.81
8399, Melbourne, VIC,-38.37,144.77
8396, Melbourne, VIC,-38.37,144.77
8394, Melbourne, VIC,-38.37,144.77
8393, Melbourne, VIC,-38.37,144.77
8390, Melbourne, VIC,-38.37,144.77
8388, Melbourne, VIC,-38.37,144.77
8386, Melbourne, VIC,-38.37,144.77
8383, Melbourne, VIC,-38.37,144.77
8205, Melbourne, VIC,-38.37,144.77
8120, Melbourne, VIC,-38.37,144.77
8111, Melbourne, VIC,-38.37,144.77
8108, Melbourne, VIC,-38.37,144.77
8107, Melbourne, VIC,-38.37,144.77
8103, Melbourne, VIC,-38.37,144.77
8102, Melbourne, VIC,-38.37,144.77
8071, Melbourne, VIC,-38.37,144.77
8070, Melbourne, VIC,-38.37,144.77
8069, Melbourne, VIC,-38.37,144.77
8066, Melbourne, VIC,-38.37,144.77
8061, Melbourne, VIC,-38.37,144.77
8060, Melbourne, VIC,-38.37,144.77
8051, Melbourne, VIC,-38.37,144.77
8045, Melbourne, VIC,-38.37,144.77
8001, Melbourne, VIC,-38.37,144.77
3941, Rye, VIC,-38.37,144.82
3937, Red Hill, VIC,-38.37,145.01
3926, Balnarring, VIC,-38.37,145.13
3919, Crib Point, VIC,-38.37,145.2
3241, Bambra, VIC,-38.37,143.95
3001, Melbourne, VIC,-38.37,144.77
3942, Blairgowrie, VIC,-38.36,144.77
3280, Dennington, VIC,-38.36,142.44
3936, Arthurs Seat, VIC,-38.35,144.95
3944, Portsea, VIC,-38.34,144.71
3943, Sorrento, VIC,-38.34,144.74
3921, French Island, VIC,-38.34,145.34
3918, Bittern, VIC,-38.34,145.18
3266, Bullaharre, VIC,-38.34,143.14
3250, Colac, VIC,-38.34,143.58
3987, Nyora, VIC,-38.33,145.67
3835, Thorpdale, VIC,-38.33,146.12
3282, Illowa, VIC,-38.33,142.41
3281, Bushfield, VIC,-38.33,142.51
3228, Bellbrae, VIC,-38.33,144.26
3984, Adams Estate, VIC,-38.32,145.54
3842, Churchill, VIC,-38.32,146.42
3915, Hastings, VIC,-38.31,145.19
3283, Crossley, VIC,-38.31,142.33
3242, Birregurra, VIC,-38.31,143.79
3934, Mount Martha, VIC,-38.3,144.99
3824, Childers, VIC,-38.3,146.11
3275, Mailors Flat, VIC,-38.3,142.46
3254, Cororooke, VIC,-38.3,143.52
3988, Mountain View, VIC,-38.29,145.89
3873, Gormandale, VIC,-38.29,146.72
3871, Allambee Reserve, VIC,-38.29,146.05
3225, Point Lonsdale, VIC,-38.29,144.61
3840, Driffield, VIC,-38.28,146.32
3278, Purnim, VIC,-38.28,142.62
3227, Barwon Heads, VIC,-38.28,144.49
3785, Tremont, VIC,-38.27,144.49
3305, Allestree, VIC,-38.27,141.65
3285, Codrington, VIC,-38.27,141.97
3226, Ocean Grove, VIC,-38.27,144.54
3913, Tyabb, VIC,-38.26,145.19
3847, Hiamdale, VIC,-38.26,146.75
3823, Allambee, VIC,-38.26,146.03
3933, Moorooduc, VIC,-38.24,145.09
3931, Mornington, VIC,-38.24,145.06
3822, Cloverlea, VIC,-38.24,146
3818, Athlone, VIC,-38.24,145.78
3264, Terang, VIC,-38.24,142.91
3249, Alvie, VIC,-38.24,143.48
3240, Buckley, VIC,-38.22,144.08
3980, Blind Bight, VIC,-38.21,145.34
3977, Botanic Ridge, VIC,-38.21,145.32
3820, Bona Vista, VIC,-38.21,145.96
3284, Orford, VIC,-38.21,142.15
3279, Ballangeich, VIC,-38.21,142.66
3265, Boorcan, VIC,-38.21,143.01
3912, Pearcedale, VIC,-38.2,145.23
3911, Baxter, VIC,-38.2,145.16
3661, Seymour, VIC,-38.2,146.54
3217, Deakin University, VIC,-38.2,144.3
8010, Law Courts, VIC,-38.19,146.29
3930, Kunyung, VIC,-38.19,145.08
3251, Beeac, VIC,-38.19,143.64
3981, Bayles, VIC,-38.18,145.57
3224, Leopold, VIC,-38.18,144.46
3220, Bareena, VIC,-38.18,145.11
3219, Breakwater, VIC,-38.18,144.38
3216, Belmont, VIC,-38.18,144.34
3111, Donvale, VIC,-38.18,144.47
3200, Frankston North, VIC,-38.17,145.19
3222, Clifton Springs, VIC,-38.16,144.56
3978, Cardinia, VIC,-38.15,145.42
3910, Langwarrin, VIC,-38.15,145.19
3814, Cora Lynn, VIC,-38.15,145.61
3304, Bessiebelle, VIC,-38.15,141.97
3199, Frankston, VIC,-38.15,145.12
3223, Indented Head, VIC,-38.14,144.71
3218, Geelong West, VIC,-38.14,144.35
3260, Bookaar, VIC,-38.13,143.1
3854, Glengarry, VIC,-38.12,146.57
8002, East Melbourne, VIC,-38.11,145.15
3852, East Sale, VIC,-38.11,147.13
3321, Hesse, VIC,-38.11,143.86
3287, Hawkesdale, VIC,-38.11,142.32
3215, Bell Park, VIC,-38.11,144.33
3198, Belvedere Park, VIC,-38.11,145.16
3853, Sale, VIC,-38.1,146.06
3821, Brandy Creek, VIC,-38.1,145.92
3815, Bunyip, VIC,-38.1,145.72
3813, Tynong, VIC,-38.09,145.63
3201, Carrum Downs, VIC,-38.09,145.19
3810, Pakenham, VIC,-38.08,145.49
3272, Mortlake, VIC,-38.08,142.81
3197, Carrum, VIC,-38.08,145.12
3856, Toongabbie, VIC,-38.07,146.67
3214, Corio, VIC,-38.07,144.36
3809, Officer, VIC,-38.06,145.41
3273, Hexham, VIC,-38.06,142.61
3196, Bonbeach, VIC,-38.06,145.12
3975, Lynbrook, VIC,-38.05,145.26
3816, Labertouche, VIC,-38.05,145.83
3807, Beaconsfield, VIC,-38.05,145.37
3331, Bannockburn, VIC,-38.05,144.17
3292, Nelson, VIC,-38.05,141.01
3851, Airly, VIC,-38.04,147.08
3812, Maryknoll, VIC,-38.04,145.61
3328, Teesdale, VIC,-38.04,144.05
3276, Minjah, VIC,-38.04,142.44
3976, Hampton Park, VIC,-38.03,145.27
3806, Berwick, VIC,-38.03,145.34
3322, Cressy, VIC,-38.03,143.64
3303, Breakaway Creek, VIC,-38.03,141.81
3195, Aspendale, VIC,-38.03,145.1
3175, Bangholme, VIC,-38.03,145.18
3161, Caulfield Junction, VIC,-38.03,145.31
3805, Fountain Gate, VIC,-38.02,145.3
3329, Barunah Park, VIC,-38.02,143.86
3212, Avalon, VIC,-38.02,144.41
3164, Dandenong South, VIC,-38.02,145.24
5291, Allendale East, SA,-38,140.71
3857, Cowwarr, VIC,-38,146.69
3808, Beaconsfield Upper, VIC,-38,145.41
3803, Hallam, VIC,-38,145.27
3271, Darlington, VIC,-38,143.05
3177, Doveton, VIC,-38,145.24
3938, Mccrae, VIC,-37.99,145.22
3323, Berrybank, VIC,-37.99,143.49
3193, Beaumaris, VIC,-37.99,145.03
3173, Keysborough, VIC,-37.99,145.15
3802, Endeavour Hills, VIC,-37.98,145.25
3194, Mentone, VIC,-37.98,145.06
3945, Jeetho, VIC,-37.97,145.16
3858, Arbuckle, VIC,-37.97,146.69
3804, Narre Warren East, VIC,-37.97,145.36
3502, Mildura, VIC,-37.97,145.26
3286, Condah Swamp, VIC,-37.97,141.83
3211, Little River, VIC,-37.97,144.53
3202, Heatherton, VIC,-37.97,145.21
3174, Noble Park, VIC,-37.97,145.18
3172, Dingley Village, VIC,-37.97,145.12
3030, Cocoroc, VIC,-37.97,144.58
3831, Neerim, VIC,-37.96,145.99
3332, Lethbridge, VIC,-37.96,144.14
3192, Cheltenham, VIC,-37.96,145.06
3783, Gembrook, VIC,-37.95,145.55
3325, Derrinallum, VIC,-37.95,143.22
3324, Lismore, VIC,-37.95,143.34
3191, Sandringham, VIC,-37.95,145.01
3190, Highett, VIC,-37.95,145.03
3171, Sandown Village, VIC,-37.95,145.16
3957, Stony Creek, VIC,-37.94,145.27
3781, Cockatoo, VIC,-37.94,145.49
3169, Clarinda, VIC,-37.94,145.1
3889, Bellbird Creek, VIC,-37.93,145.91
3205, South Melbourne, VIC,-37.93,145.03
3189, Moorabbin, VIC,-37.93,145.04
3188, Hampton, VIC,-37.93,145.03
3178, Rowville, VIC,-37.93,145.24
3168, Clayton, VIC,-37.93,145.12
3167, Oakleigh South, VIC,-37.93,145.1
3165, Bentleigh East, VIC,-37.93,145.06
3880, Boole Poole, VIC,-37.92,147.69
3782, Avonsleigh, VIC,-37.92,145.47
3333, Bamganie, VIC,-37.92,144.03
3204, Bentleigh, VIC,-37.92,145.04
3159, Menzies Creek, VIC,-37.92,145.4
3832, Nayook, VIC,-37.91,145.93
3800, Monash University, VIC,-37.91,145.13
3274, Caramut, VIC,-37.91,142.52
3186, Brighton, VIC,-37.91,144.99
3160, Belgrave, VIC,-37.91,145.36
3051, Hotham Hill, VIC,-37.91,145.06
3791, Kallista, VIC,-37.9,145.41
3289, Gazette, VIC,-37.9,142.17
3221, Anakie, VIC,-37.9,144.25
3187, Brighton East, VIC,-37.9,145
3166, Hughesdale, VIC,-37.9,145.08
3158, Upwey, VIC,-37.9,145.33
