postcode,long,lat
800,130.844,-12.462
810,130.877,-12.37
812,130.914,-12.378
815,130.869,-12.372
820,130.865,-12.423
822,132.884,-13.021
828,130.94,-12.428
829,131.002,-12.449
830,131.04,-12.387
832,130.997,-12.513
834,131.024,-12.547
835,131.062,-12.472
836,131.131,-12.56
837,131.156,-12.762
838,131.007,-12.719
839,131.04,-12.52
840,130.443,-12.733
841,130.97,-12.819
845,131.057,-13.09
846,131.156,-13.168
847,131.826,-13.824
850,132.271,-14.441
852,132.81,-16.829
853,132.379,-14.531
854,136.309,-16.07
860,134.187,-19.655
862,135.836,-18.075
870,133.83,-23.716
872,131.226,-23.596
873,133.855,-23.776
874,133.889,-23.672
875,133.833,-23.697
880,136.646,-12.246
885,136.42,-13.851
886,132.837,-12.669
2000,151.208,-33.868
2006,151.187,-33.888
2007,151.198,-33.88
2008,151.197,-33.888
2009,151.194,-33.869
2010,151.215,-33.883
2011,151.224,-33.87
2015,151.193,-33.908
2016,151.207,-33.893
2017,151.208,-33.903
2018,151.209,-33.925
2019,151.208,-33.952
2020,151.182,-33.94
2021,151.228,-33.893
2022,151.249,-33.896
2023,151.256,-33.881
2024,151.261,-33.903
2025,151.244,-33.887
2026,151.272,-33.89
2027,151.241,-33.872
2028,151.244,-33.878
2029,151.269,-33.874
2030,151.278,-33.857
2031,151.244,-33.915
2032,151.228,-33.926
2033,151.219,-33.913
2034,151.255,-33.924
2035,151.237,-33.942
2036,151.239,-33.971
2037,151.185,-33.879
2038,151.171,-33.881
2039,151.173,-33.865
2040,151.158,-33.877
2041,151.182,-33.856
2042,151.177,-33.899
2043,151.186,-33.903
2044,151.169,-33.92
2045,151.14,-33.878
2046,151.132,-33.861
2047,151.153,-33.853
2048,151.166,-33.893
2049,151.152,-33.895
2050,151.177,-33.889
2052,151.23,-33.917
2060,151.205,-33.839
2061,151.214,-33.848
2062,151.214,-33.822
2063,151.218,-33.811
2064,151.186,-33.811
2065,151.194,-33.826
2066,151.162,-33.816
2067,151.178,-33.796
2068,151.208,-33.8
2069,151.195,-33.783
2070,151.17,-33.776
2071,151.167,-33.763
2072,151.153,-33.756
2073,151.137,-33.752
2074,151.139,-33.712
2075,151.171,-33.721
2076,151.116,-33.716
2077,151.102,-33.678
2079,151.127,-33.667
2080,151.135,-33.646
2081,151.164,-33.58
2082,151.136,-33.596
2083,151.197,-33.559
2084,151.231,-33.644
2085,151.208,-33.725
2086,151.224,-33.748
2087,151.216,-33.767
2088,151.245,-33.829
2089,151.219,-33.836
2090,151.226,-33.83
