ts,SA,NSW
2018-08-25 13:10:00,50.087273,50.087635
2018-08-25 13:10:01,50.083569,50.084743
2018-08-25 13:10:02,50.081341,50.081947
2018-08-25 13:10:03,50.079651,50.079124
2018-08-25 13:10:04,50.076427,50.078037
2018-08-25 13:10:05,50.077301,50.078568
2018-08-25 13:10:06,50.075878,50.07597
2018-08-25 13:10:07,50.071129,50.073631
2018-08-25 13:10:08,50.074348,50.074722
2018-08-25 13:10:09,50.077538,50.075577
2018-08-25 13:10:10,50.073933,50.074314
2018-08-25 13:10:11,50.067837,50.068581
2018-08-25 13:10:12,50.057327,50.059132
2018-08-25 13:10:13,50.0499,50.049423
2018-08-25 13:10:14,50.038521,50.039753
2018-08-25 13:10:15,50.029442,50.029919
2018-08-25 13:10:16,50.023487,50.021957
2018-08-25 13:10:17,50.016048,50.017288
2018-08-25 13:10:18,50.014568,50.015678
2018-08-25 13:10:19,50.01598,50.0143
2018-08-25 13:10:20,50.014164,50.016235
2018-08-25 13:10:21,50.019543,50.020256
2018-08-25 13:10:22,50.025661,50.024075
2018-08-25 13:10:23,50.025124,50.026421
2018-08-25 13:10:24,50.028885,50.027973
2018-08-25 13:10:25,50.030685,50.031425
2018-08-25 13:10:26,50.035286,50.035275
2018-08-25 13:10:27,50.036591,50.034481
2018-08-25 13:10:28,50.029987,50.031326
2018-08-25 13:10:29,50.028652,50.028236
2018-08-25 13:10:30,50.023754,50.024296
2018-08-25 13:10:31,50.020489,50.019962
2018-08-25 13:10:32,50.016422,50.017223
2018-08-25 13:10:33,50.014618,50.013119
2018-08-25 13:10:34,50.010872,50.010559
2018-08-25 13:10:35,50.007065,50.005886
2018-08-25 13:10:36,50.000294,50.002235
2018-08-25 13:10:37,50.001644,50.000198
2018-08-25 13:10:38,49.998573,49.997822
2018-08-25 13:10:39,49.993176,49.995472
2018-08-25 13:10:40,49.998669,49.999928
2018-08-25 13:10:41,50.005974,50.003719
2018-08-25 13:10:42,50.00753,50.008499
2018-08-25 13:10:43,50.013409,50.014278
2018-08-25 13:10:44,50.020348,50.01804
2018-08-25 13:10:45,50.018383,50.016621
2018-08-25 13:10:46,50.01265,50.014904
2018-08-25 13:10:47,50.017445,50.018147
2018-08-25 13:10:48,50.023533,50.019497
2018-08-25 13:10:49,50.014454,50.015461
2018-08-25 13:10:50,50.0117,50.013641
2018-08-25 13:10:51,50.018238,50.014412
2018-08-25 13:10:52,50.015003,50.015358
2018-08-25 13:10:53,50.013672,50.014778
2018-08-25 13:10:54,50.016163,50.014782
2018-08-25 13:10:55,50.013721,50.014141
2018-08-25 13:10:56,50.011143,50.010361
2018-08-25 13:10:57,50.005962,50.006939
2018-08-25 13:10:58,50.006634,50.007805
2018-08-25 13:10:59,50.012646,50.009163
2018-08-25 13:11:00,50.008263,50.010227
2018-08-25 13:11:01,50.012215,50.013882
2018-08-25 13:11:02,50.022232,50.020821
2018-08-25 13:11:03,50.025749,50.025642
2018-08-25 13:11:04,50.027824,50.028439
2018-08-25 13:11:05,50.032478,50.032772
2018-08-25 13:11:06,50.036804,50.037827
2018-08-25 13:11:07,50.042091,50.041397
2018-08-25 13:11:08,50.045044,50.043785
2018-08-25 13:11:09,50.042076,50.04076
2018-08-25 13:11:10,50.033474,50.036259
2018-08-25 13:11:11,50.03252,50.033134
2018-08-25 13:11:12,50.031315,50.030479
2018-08-25 13:11:13,50.023239,50.024456
2018-08-25 13:11:14,50.017948,50.017334
2018-08-25 13:11:15,50.011738,50.011158
2018-08-25 13:11:16,50.007065,50.007725
2018-08-25 13:11:17,50.006199,50.004364
2018-08-25 13:11:18,49.998875,49.99931
2018-08-25 13:11:19,49.994923,49.995731
2018-08-25 13:11:20,49.994118,49.991898
2018-08-25 13:11:21,49.987679,49.987804
2018-08-25 13:11:22,49.98381,49.984863
2018-08-25 13:11:23,49.984547,49.982693
2018-08-25 13:11:24,49.98156,49.983562
2018-08-25 13:11:25,49.985596,49.985168
2018-08-25 13:11:26,49.989365,49.988308
2018-08-25 13:11:27,49.987492,49.988762
2018-08-25 13:11:28,49.988594,49.989494
2018-08-25 13:11:29,49.992722,49.993137
2018-08-25 13:11:30,49.994709,49.994942
2018-08-25 13:11:31,49.996136,49.995911
2018-08-25 13:11:32,49.994453,49.996048
2018-08-25 13:11:33,49.996315,49.99514
2018-08-25 13:11:34,49.993607,49.993275
2018-08-25 13:11:35,49.98999,49.989063
2018-08-25 13:11:36,49.986229,49.987526
2018-08-25 13:11:37,49.986996,49.986469
2018-08-25 13:11:38,49.986183,49.986008
2018-08-25 13:11:39,49.981426,49.970097
2018-08-25 13:11:40,49.931496,49.930325
2018-08-25 13:11:41,49.8773,49.840557
2018-08-25 13:11:42,49.693211,49.654186
2018-08-25 13:11:43,49.461517,49.498123
2018-08-25 13:11:44,49.381714,49.345242
2018-08-25 13:11:45,49.248882,49.269493
2018-08-25 13:11:46,49.210228,49.181721
2018-08-25 13:11:47,49.375328,49.100994
2018-08-25 13:11:48,49.931236,48.994961
2018-08-25 13:11:49,50.28931,49.069111
2018-08-25 13:11:50,50.427486,49.184296
2018-08-25 13:11:51,50.45248,49.310478
2018-08-25 13:11:52,50.406788,49.431503
2018-08-25 13:11:53,50.338711,49.538418
2018-08-25 13:11:54,50.248573,49.631279
2018-08-25 13:11:55,50.143524,49.707012
2018-08-25 13:11:56,50.043728,49.763668
2018-08-25 13:11:57,49.961845,49.799774
2018-08-25 13:11:58,49.915966,49.836391
2018-08-25 13:11:59,49.909523,49.861111
2018-08-25 13:12:00,49.930237,49.879951
2018-08-25 13:12:01,49.964996,49.891777
2018-08-25 13:12:02,50.002357,49.897034
2018-08-25 13:12:03,50.033886,49.900688
2018-08-25 13:12:04,50.053253,49.902138
2018-08-25 13:12:05,50.06147,49.904774
2018-08-25 13:12:06,50.062901,49.907352
2018-08-25 13:12:07,50.062813,49.910088
2018-08-25 13:12:08,50.066433,49.909023
2018-08-25 13:12:09,50.069786,49.903423
2018-08-25 13:12:10,50.070759,49.895386
2018-08-25 13:12:11,50.074074,49.883801
2018-08-25 13:12:12,50.078732,49.87043
2018-08-25 13:12:13,50.081635,49.863342
2018-08-25 13:12:14,50.083969,49.850895
2018-08-25 13:12:15,50.087345,49.839474
2018-08-25 13:12:16,50.090221,49.827457
2018-08-25 13:12:17,50.093163,49.816528
2018-08-25 13:12:18,50.101364,49.809101
2018-08-25 13:12:19,50.116135,49.801067
2018-08-25 13:12:20,50.126419,49.795361
2018-08-25 13:12:21,50.129658,49.793774
2018-08-25 13:12:22,50.131836,49.798901
2018-08-25 13:12:23,50.134884,49.808483
2018-08-25 13:12:24,50.140816,49.811787
2018-08-25 13:12:25,50.152393,49.81673
2018-08-25 13:12:26,50.161381,49.819595
2018-08-25 13:12:27,50.155769,49.820938
2018-08-25 13:12:28,50.145988,49.817505
2018-08-25 13:12:29,50.137566,49.811996
2018-08-25 13:12:30,50.130596,49.805336
2018-08-25 13:12:31,50.1292,49.802677
2018-08-25 13:12:32,50.129772,49.798237
2018-08-25 13:12:33,50.130165,49.794533
2018-08-25 13:12:34,50.133701,49.794205
2018-08-25 13:12:35,50.136024,49.793739
2018-08-25 13:12:36,50.135185,49.797634
2018-08-25 13:12:37,50.135098,49.804157
2018-08-25 13:12:38,50.14135,49.813156
2018-08-25 13:12:39,50.152664,49.824497
2018-08-25 13:12:40,50.159618,49.830017
2018-08-25 13:12:41,50.160622,49.832008
2018-08-25 13:12:42,50.157425,49.833961
2018-08-25 13:12:43,50.152206,49.82798
2018-08-25 13:12:44,50.150089,49.820835
2018-08-25 13:12:45,50.151054,49.814461
2018-08-25 13:12:46,50.153194,49.806816
2018-08-25 13:12:47,50.156559,49.796139
2018-08-25 13:12:48,50.158077,49.78738
2018-08-25 13:12:49,50.15818,49.780197
2018-08-25 13:12:50,50.156746,49.779663
2018-08-25 13:12:51,50.155682,49.782494
2018-08-25 13:12:52,50.157284,49.791115
2018-08-25 13:12:53,50.160702,49.796444
2018-08-25 13:12:54,50.166416,49.804165
2018-08-25 13:12:55,50.171455,49.812309
2018-08-25 13:12:56,50.174278,49.818516
2018-08-25 13:12:57,50.175182,49.824051
2018-08-25 13:12:58,50.17709,49.828678
2018-08-25 13:12:59,50.180599,49.830963
